Strike,Price,Type,ImpliedVol
12250,1,Put,0.438445086
12500,2,Put,0.444344318
12750,2,Put,0.420417755
13000,2,Put,0.39687515
13250,2,Put,0.373694597
13500,3,Put,0.366762326
13750,3,Put,0.34338305
14000,4,Put,0.331428788
14250,4,Put,0.307988923
14500,6,Put,0.300203311
14750,7,Put,0.282241174
14875,8,Put,0.275404281
15000,9,Put,0.267846539
15125,10,Put,0.259680891
15250,12,Put,0.254586458
15375,14,Put,0.248258063
15500,16,Put,0.240935989
15625,19,Put,0.235184371
15750,22,Put,0.228196716
15875,27,Put,0.223839191
16000,32,Put,0.21776773
16125,37,Put,0.210301158
16250,46,Put,0.206562929
16375,60,Put,0.2059292
16500,65,Put,0.194022717
16625,80,Put,0.189837866
16750,100,Put,0.187004961
16875,130,Put,0.188062063
17000,155,Put,0.182526267
17125,185,Put,0.177188918
17250,220,Put,0.171623651
17375,275,Put,0.173218833
17500,320,Put,0.165947592
17625,400,Put,0.172765357
17750,465,Put,0.168167551
17875,535,Put,0.162040942
18000,635,Put,0.168915649
18250,830,Put,0.170510121
16750,850,Call,0.177184629
16875,760,Call,0.182753001
17000,680,Call,0.189812448
17125,565,Call,0.172640748
17250,490,Call,0.175390975
17375,410,Call,0.171670793
17500,360,Call,0.179675381
17625,285,Call,0.171227771
17750,230,Call,0.169209764
17875,180,Call,0.165912244
18000,140,Call,0.164139418
18125,105,Call,0.16123774
18250,80,Call,0.160917237
18375,60,Call,0.160602162
18500,45,Call,0.161029445
18625,34,Call,0.162265749
18750,25,Call,0.162772594
18875,18,Call,0.162951638
19000,14,Call,0.165895933
19125,9,Call,0.1633862
19250,6,Call,0.162613859
19375,4,Call,0.162293602
19500,4,Call,0.171105926
19625,3,Call,0.173198988
19750,2,Call,0.172862374
19875,2,Call,0.18079303
20000,1,Call,0.17501882
